data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,10,1,2,63,0,2,3,1,3,3
DNA_524288,55,3,5,219,0,3,3,0,3,3
DNA_1048576,108,17,44,1681,1,18,39,2,16,17
proteins_1048576,43,4,8,67,4,4,4,0,3,3
realDNA_1048576,132,16,37,982,1,13,14,2,15,37
english_1048576,87,0,4,4,2,6,6,4,7,3
DNA_2097152,94,12,28,696,0,14,19,2,15,16
proteins_2097152,50,5,12,109,3,9,12,9,15,8
realDNA_2097152,317,24,85,2308,4,36,30,4,31,46
english_2097152,192,2,12,11,14,28,83,28,38,35
DNA_4194304,339,46,150,7651,24,106,169,11,108,167
proteins_4194304,167,15,31,1367,4,20,32,16,30,28
realDNA_4194304,237,33,117,9297,20,95,60,13,91,120
english_4194304,138,2,10,9,6,14,14,13,21,20
DNA_8388608,728,202,551,33854,2774,1134,1029,890,1608,478
proteins_8388608,230,16,40,660,10,37,54,38,65,60
