data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,2,1,2,2,1,2,2
DNA_524288,0,0,3,3,0,3,3,0,3,3
DNA_1048576,0,0,9,7,1,9,8,3,16,15
proteins_1048576,0,1,7,7,4,11,10,5,11,10
realDNA_1048576,0,1,25,19,8,28,25,7,26,23
english_1048576,0,0,3,2,1,4,3,1,3,3
DNA_2097152,0,0,22,17,9,27,23,7,25,21
proteins_2097152,0,2,9,8,5,12,10,8,15,14
realDNA_2097152,0,1,25,17,1,21,16,7,23,16
english_2097152,0,3,12,10,7,14,626,7,12,12
DNA_4194304,0,1,99,61,25,117,81,12,114,70
proteins_4194304,0,3,21,19,9,27,24,16,36,32
realDNA_4194304,0,5,111,69,224,607,560,1626,1259,797
english_4194304,0,2,19,20,11,25,22,31,46,44
DNA_8388608,0,677,395,201,149,437,278,148,345,1285
proteins_8388608,0,5,33,38,25,61,52,45,83,73
