data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,1,0,1,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,10,0,0,0,0,0,0
DNA_262144,0,1,3,189,0,1,2,0,1,1
DNA_524288,0,3,5,416,0,3,16,0,3,4
DNA_1048576,0,7,17,1836,1,10,13,1,10,13
proteins_1048576,0,2,4,101,0,2,13,3,5,6
realDNA_1048576,0,15,31,2124,1,14,17,1,17,71
english_1048576,0,0,3,3,1,4,5,2,7,8
DNA_2097152,0,21,49,4605,3,20,24,2,20,50
proteins_2097152,0,3,7,211,4,10,10,8,15,14
realDNA_2097152,0,13,35,2602,3,20,23,2,18,52
english_2097152,0,2,14,13,119,94,228,16,30,29
DNA_4194304,0,62,218,17926,21,99,109,10,85,88
proteins_4194304,0,19,39,1706,78,74,24,17,36,120
realDNA_4194304,0,76,336,19394,17,146,116,37,181,558
english_4194304,0,2,12,72,4,13,14,14,20,21
DNA_8388608,0,68,266,35863,1090,676,1260,289,632,763
proteins_8388608,0,23,51,1324,28,152,315,39,79,67
realDNA_8388608,0,61,278,47163,1762,2842,2280,299,786,1875
