data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,1,0,0,0,0,0,0
DNA_16384,3,0,0,2,0,0,0,0,0,0
DNA_262144,31,2,3,124,0,1,29,0,3,3
DNA_524288,59,5,5,330,0,3,7,0,3,6
DNA_1048576,161,16,26,403,5,18,24,6,17,19
proteins_1048576,114,7,7,64,1,4,12,5,10,13
realDNA_1048576,340,31,41,879,7,30,43,7,28,48
english_1048576,177,0,4,6,4,4,6,1,3,6
DNA_2097152,250,21,28,914,5,29,36,2,18,37
proteins_2097152,121,8,12,97,2,5,9,6,11,9
realDNA_2097152,781,142,49,6415,3,25,565,4,23,204
english_2097152,350,3,11,15,6,14,19,16,25,28
DNA_4194304,2179,171,274,9554,39,183,236,16,145,180
proteins_4194304,451,23,29,1400,9,25,38,16,33,45
realDNA_4194304,1809,442,207,242044,378,1449,4303,927,962,18498
english_4194304,401,4,18,22,9,22,31,27,40,45
DNA_8388608,4393,331,767,33038,849,1128,427,211,610,726
proteins_8388608,848,28,40,2044,10,31,40,16,39,49
