data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,1,0,0,0
DNA_262144,9,1,2,85,0,1,31,0,1,2
DNA_524288,17,4,8,273,0,4,4,0,4,4
DNA_1048576,48,9,19,623,1,9,9,1,8,9
proteins_1048576,70,7,14,86,4,6,7,1,5,5
realDNA_1048576,87,14,27,544,9,25,28,5,16,20
english_1048576,64,0,2,2,1,4,27,4,8,7
DNA_2097152,97,14,35,1755,1,15,15,2,15,23
proteins_2097152,49,5,12,110,6,12,12,7,6,6
realDNA_2097152,98,12,31,776,3,21,26,7,26,47
english_2097152,155,1,6,6,2,8,8,6,12,11
DNA_4194304,384,52,163,7786,993,79,67,5,67,52
proteins_4194304,166,13,31,239,3,18,22,15,29,27
realDNA_4194304,502,229,365,7409,11,93,82,19,101,143
english_4194304,138,2,10,9,4,12,13,13,21,20
DNA_8388608,734,77,294,13595,30,164,90,36,168,110
proteins_8388608,253,24,57,647,35,63,61,37,65,60
