data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,1,0,2,2,1,4,3
DNA_524288,0,0,3,3,0,3,3,0,3,3
DNA_1048576,0,0,20,18,1,21,33,14,42,35
proteins_1048576,0,1,6,5,5,10,10,4,9,8
realDNA_1048576,0,0,12,12,1,13,12,1,13,18
english_1048576,0,0,2,2,0,3,3,1,3,3
DNA_2097152,0,0,18,14,3,21,16,6,20,15
proteins_2097152,0,1,5,4,0,4,4,6,16,14
realDNA_2097152,0,2,49,33,17,56,46,13,50,179
english_2097152,0,4,22,20,17,36,32,35,62,49
DNA_4194304,0,0,82,50,21,107,70,9,102,57
proteins_4194304,0,3,19,16,5,22,24,16,32,41
realDNA_4194304,0,6,103,55,60,119,85,26,86,61
english_4194304,0,6,22,23,17,29,27,27,39,37
DNA_8388608,0,16,194,101,77,221,129,68,263,168
proteins_8388608,0,5,37,26,4,30,23,18,44,59
