data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,4,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,1,0,1,1,0,1,1
DNA_524288,0,0,7,5,3,7,4,0,5,3
DNA_1048576,0,0,16,14,2,19,18,9,29,26
proteins_1048576,0,0,3,3,1,4,4,0,4,4
realDNA_1048576,0,1,18,16,8,24,21,5,21,19
english_1048576,0,0,4,4,265,3,3,1,3,3
DNA_2097152,0,0,20,15,3,17,14,2,19,20
proteins_2097152,0,1,4,4,0,4,4,3,7,6
realDNA_2097152,0,0,29,23,12,43,40,12,32,25
english_2097152,0,1,9,8,5,13,12,9,16,15
DNA_4194304,0,1,121,97,29,173,112,17,139,94
proteins_4194304,0,11,30,23,7,27,24,24,44,40
realDNA_4194304,0,6,105,55,27,117,75,35,128,81
english_4194304,0,2,10,12,3,16,13,15,24,25
DNA_8388608,0,113,533,9406,24,169,105,28,167,89
proteins_8388608,0,5,34,23,14,37,33,18,41,37
