data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,2,0,2,2,1,3,3
DNA_524288,0,0,4,4,0,4,4,0,4,4
DNA_1048576,0,1,14,11,6,19,13,1,9,10
proteins_1048576,0,0,4,4,0,5,8,2,5,4
realDNA_1048576,0,1,25,23,17,48,41,10,41,35
english_1048576,0,0,2,3,0,3,3,1,4,4
DNA_2097152,0,0,16,14,2,16,13,2,26,21
proteins_2097152,0,1,7,8,5,13,11,8,15,14
realDNA_2097152,0,0,22,16,4,23,18,2,20,17
english_2097152,0,1,7,6,2,8,7,7,12,12
DNA_4194304,0,0,77,45,16,84,60,5,102,72
proteins_4194304,0,3,20,17,3,19,17,15,31,30
realDNA_4194304,0,106,581,431,626,1458,1417,1655,2231,844
english_4194304,0,5,21,19,15,26,22,28,44,38
DNA_8388608,0,45,390,220,1793,1841,347,355,805,489
proteins_8388608,0,9,44,34,34,1707,31,16,36,32
