data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,14,0,1,1,0,1,1
DNA_524288,0,0,5,34,0,4,3,0,3,3
DNA_1048576,0,0,29,161,2,33,39,11,21,21
proteins_1048576,0,1,9,31,5,10,10,4,9,9
realDNA_1048576,0,0,25,142,6,23,20,5,21,14
english_1048576,0,0,3,2,0,3,3,1,3,3
DNA_2097152,0,0,37,156,3,20,18,6,20,15
proteins_2097152,0,1,8,34,0,5,5,4,7,6
realDNA_2097152,0,0,66,327,8,47,50,18,60,56
english_2097152,0,6,18,16,12,26,38,26,38,35
DNA_4194304,0,0,151,701,23,106,79,9,83,59
proteins_4194304,0,3,29,120,4,19,24,14,28,27
realDNA_4194304,0,134,563,776,625,852,569,139,108,82
english_4194304,0,2,11,11,20,30,28,28,40,38
DNA_8388608,0,23,369,1074,58,350,268,251,216,151
proteins_8388608,0,4,47,146,4,24,24,16,36,35
