data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,9,1,2,54,0,2,5,1,3,2
DNA_524288,13,3,6,195,0,3,3,0,3,3
DNA_1048576,50,7,16,782,1,9,10,1,8,9
proteins_1048576,130,5,12,233,1,7,12,1,5,6
realDNA_1048576,113,17,36,745,13,30,21,1,21,29
english_1048576,103,0,3,2,0,3,6,4,8,7
DNA_2097152,98,13,35,557,8,26,26,6,26,28
proteins_2097152,46,3,8,461,1,6,7,3,7,7
realDNA_2097152,139,13,39,1413,3,22,17,2,17,28
english_2097152,172,1,7,6,1,7,7,7,18,25
DNA_4194304,386,55,225,8680,13,102,185,7,96,165
proteins_4194304,206,16,42,382,3,24,26,20,42,70
realDNA_4194304,390,53,166,9487,22,116,83,21,110,158
english_4194304,166,2,10,9,4,11,11,13,21,20
DNA_8388608,1055,572,461,52679,15034,621,415,287,479,436
proteins_8388608,252,23,56,660,40,72,69,38,66,61
