data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,3,0,0,9,0,0,0
DNA_262144,0,1,2,160,0,1,5,0,1,1
DNA_524288,0,3,5,410,0,7,6,0,6,4
DNA_1048576,0,8,16,723,5,16,19,5,16,19
proteins_1048576,0,3,7,199,1,6,16,6,15,14
realDNA_1048576,0,17,33,2420,2,14,20,1,19,51
english_1048576,0,0,2,3,1,4,118,1,3,3
DNA_2097152,0,12,32,1839,1,15,19,2,16,27
proteins_2097152,0,3,7,167,2,6,6,2,7,14
realDNA_2097152,0,13,35,2851,3,22,21,2,19,52
english_2097152,0,1,6,7,3,9,10,9,14,11
DNA_4194304,0,53,148,15105,1247,93,533,6,89,81
proteins_4194304,0,15,37,1499,3,19,36,15,30,29
realDNA_4194304,0,150,422,31538,19,148,149,28,143,368
english_4194304,0,2,10,30,4,14,15,13,21,20
DNA_8388608,0,68,266,50259,280,515,373,336,586,512
proteins_8388608,0,17,45,1232,14,36,60,38,66,61
