data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,6,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,1,4,170,0,1,36,0,3,2
DNA_524288,0,3,6,263,0,3,4,0,3,4
DNA_1048576,0,7,14,910,1,8,56,1,9,13
proteins_1048576,0,3,7,197,0,4,5,1,4,5
realDNA_1048576,0,13,37,2063,1,14,20,4,26,68
english_1048576,0,0,3,3,0,3,37,1,4,4
DNA_2097152,0,12,32,1880,2,16,21,2,17,23
proteins_2097152,0,3,7,170,1,5,9,2,6,6
realDNA_2097152,0,13,40,2552,3,22,20,2,18,53
english_2097152,0,1,6,36,5,11,32,7,13,13
DNA_4194304,0,41,120,14789,1082,71,466,5,76,77
proteins_4194304,0,16,37,1688,7,22,26,19,39,29
realDNA_4194304,0,29,100,8451,6,54,54,12,59,153
english_4194304,0,2,10,12,1,13,58,17,21,20
DNA_8388608,0,59,252,29711,160,551,630,298,1268,1257
proteins_8388608,0,16,46,1201,23,53,67,17,56,68
