data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,10,6,3,11,7,3,11,8
DNA_524288,0,0,5,4,2,7,6,1,7,6
DNA_1048576,0,0,12,12,1,21,19,8,26,23
proteins_1048576,0,1,7,6,2,9,7,4,11,10
realDNA_1048576,0,1,16,13,1,15,14,1,15,15
english_1048576,0,0,3,2,0,3,2,1,4,4
DNA_2097152,0,0,19,16,8,24,21,6,24,20
proteins_2097152,0,2,8,8,4,10,10,8,15,14
realDNA_2097152,0,2,83,57,33,124,83,24,92,74
english_2097152,0,4,15,12,19,30,27,22,30,29
DNA_4194304,0,0,88,54,10,95,63,7,97,63
proteins_4194304,0,9,37,32,22,51,45,46,77,72
realDNA_4194304,0,5,79,47,19,97,57,28,111,71
english_4194304,0,6,24,21,5,20,17,34,57,55
DNA_8388608,0,12,163,84,60,220,138,73,241,180
proteins_8388608,0,5,36,24,28,53,46,18,45,38
