data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,2,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,6,0,0,0,0,0,0
DNA_16384,1,0,0,2,0,0,0,0,0,0
DNA_262144,10,1,2,89,0,1,2,0,1,2
DNA_524288,13,3,5,220,0,3,7,0,3,3
DNA_1048576,49,7,15,572,1,9,10,1,9,9
proteins_1048576,31,2,5,47,1,4,7,0,2,2
realDNA_1048576,83,15,33,1077,1,14,17,1,13,39
english_1048576,140,1,5,4,5,9,9,4,8,8
DNA_2097152,152,23,63,2882,14,39,34,9,35,30
proteins_2097152,98,6,13,146,4,11,11,10,17,16
realDNA_2097152,95,12,32,1605,3,19,18,2,17,28
english_2097152,354,2,15,15,81,93,130,15,28,27
DNA_4194304,371,48,157,10547,24,161,215,13,135,192
proteins_4194304,659,27,54,563,8,54,27,20,39,40
realDNA_4194304,630,69,1977,13306,11,100,72,21,106,191
english_4194304,219,2,11,10,5,14,14,14,25,29
DNA_8388608,1663,145,807,29705,1023,1707,1412,1413,2506,2361
proteins_8388608,266,23,59,654,65,91,91,37,71,62
realDNA_8388608,758,82,350,109585,2569,2039,1653,1091,2407,6214
