data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,7,28,1,5,5,2,6,5
DNA_524288,0,0,5,32,0,3,3,0,3,3
DNA_1048576,0,1,30,144,2,14,14,1,22,23
proteins_1048576,0,1,10,33,1,7,9,2,4,4
realDNA_1048576,0,1,33,168,0,14,18,1,16,17
english_1048576,0,0,2,2,1,3,4,1,3,3
DNA_2097152,0,0,35,160,4,24,21,6,24,20
proteins_2097152,0,2,9,36,2,6,6,2,6,6
realDNA_2097152,0,0,61,327,15,67,51,9,66,65
english_2097152,0,2,15,14,7,21,33,14,27,25
DNA_4194304,0,0,123,628,4,85,54,6,86,58
proteins_4194304,0,6,40,132,4,33,96,25,50,72
realDNA_4194304,0,101,570,769,282,643,456,459,785,622
english_4194304,0,3,12,13,9,20,22,28,39,38
DNA_8388608,0,16,275,882,39,181,108,59,559,468
proteins_8388608,0,4,50,148,9,30,28,16,37,33
