data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,0,0,0,0,0,0,0
DNA_16384,2,0,1,12,0,0,0,0,0,0
DNA_262144,27,2,2,49,0,2,4,49,1,2
DNA_524288,69,6,5,283,0,3,6,0,3,6
DNA_1048576,129,13,15,354,6,18,25,5,10,16
proteins_1048576,143,7,7,76,1,5,13,1,5,8
realDNA_1048576,327,27,28,819,10,25,29,1,14,40
english_1048576,187,0,4,6,3,7,9,4,8,9
DNA_2097152,273,23,29,1476,3,17,27,2,16,27
proteins_2097152,132,7,8,80,1,5,10,7,15,18
realDNA_2097152,260,112,31,11521,17,93,598,15,85,742
english_2097152,374,3,12,16,3,13,18,18,26,30
DNA_4194304,1452,104,170,4375,1818,131,180,10,153,154
proteins_4194304,1254,51,82,879,3,26,43,20,41,55
realDNA_4194304,1010,340,146,144426,116,205,676,291,499,1590
english_4194304,406,2,10,16,4,11,18,13,20,30
DNA_8388608,1724,117,297,14285,40,167,142,35,166,143
proteins_8388608,877,34,56,669,28,35,46,16,1740,48
