data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,13,0,0,0,0,0,0
DNA_16384,0,0,0,14,0,0,0,0,0,0
DNA_262144,0,1,2,175,0,1,2,0,1,2
DNA_524288,0,2,5,439,0,3,4,0,3,4
DNA_1048576,0,13,28,1980,2,21,114,2,20,29
proteins_1048576,0,3,6,185,3,10,11,4,9,8
realDNA_1048576,0,13,24,2008,1,14,17,1,20,55
english_1048576,0,0,2,3,0,3,5,3,8,7
DNA_2097152,0,12,33,2592,0,14,37,2,16,21
proteins_2097152,0,3,7,154,1,4,10,5,15,14
realDNA_2097152,0,33,94,7085,5,36,36,4,30,88
english_2097152,0,2,10,13,8,19,163,13,25,22
DNA_4194304,0,44,131,12677,1072,79,448,5,71,73
proteins_4194304,0,15,31,706,5,20,59,21,39,37
realDNA_4194304,0,38,123,12533,19,79,63,16,92,205
english_4194304,0,2,10,10,9,19,41,13,21,20
DNA_8388608,0,74,274,39136,234,552,403,347,613,664
proteins_8388608,0,16,41,1060,4,24,51,15,36,35
