data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,3,4,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,1,0,0,0,0,0,0
DNA_16384,4,0,0,14,0,0,0,0,0,0
DNA_262144,64,2,2,59,43,1,3,0,1,2
DNA_524288,68,5,5,207,0,3,10,0,3,6
DNA_1048576,136,13,13,710,1,10,17,1,9,17
proteins_1048576,66,3,3,45,1,2,7,0,2,4
realDNA_1048576,292,24,31,1228,1,16,25,1,12,33
english_1048576,337,1,5,8,5,12,10,1,4,7
DNA_2097152,291,23,30,1691,2,18,28,2,23,28
proteins_2097152,130,9,11,510,1,7,11,2,10,10
realDNA_2097152,263,110,31,5600,3,24,152,2,19,168
english_2097152,1620,2,16,30,88,104,116,16,30,43
DNA_4194304,1884,121,214,12626,53,257,272,19,174,236
proteins_4194304,1169,27,35,392,5,21,33,15,31,41
realDNA_4194304,953,321,146,171824,415,698,808,209,457,28131
english_4194304,458,3,15,21,7,18,26,23,32,38
DNA_8388608,3531,304,927,37554,41,224,228,59,197,171
proteins_8388608,873,33,55,2123,25,48,59,18,35,44
