data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,31,3,14,158,0,6,5,2,11,8
DNA_524288,13,3,5,207,0,3,3,0,3,3
DNA_1048576,70,11,22,999,1,15,20,1,15,16
proteins_1048576,71,4,10,211,0,4,8,0,4,4
realDNA_1048576,125,19,42,542,5,26,40,6,24,30
english_1048576,110,0,4,4,4,8,8,4,8,7
DNA_2097152,104,12,31,1247,2,19,18,2,17,17
proteins_2097152,46,3,8,437,2,6,6,2,6,6
realDNA_2097152,175,27,66,2627,10,50,53,5,49,61
english_2097152,175,3,13,11,8,19,123,11,20,19
DNA_4194304,331,47,148,7525,5,74,161,5,76,154
proteins_4194304,165,15,32,270,10,28,211,14,29,28
realDNA_4194304,198,28,97,3058,6,58,46,20,76,150
english_4194304,151,2,10,9,5,15,18,13,21,21
DNA_8388608,639,91,324,32970,1273,1917,1787,868,1530,14137
proteins_8388608,222,16,41,398,9,29,26,16,36,35
