data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,12,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,0,3,13,0,1,1,0,1,1
DNA_524288,0,0,5,37,0,4,3,0,4,3
DNA_1048576,0,1,26,101,3,15,12,1,12,10
proteins_1048576,0,0,11,46,0,7,6,1,7,6
realDNA_1048576,0,1,30,146,7,23,22,5,21,17
english_1048576,0,0,4,4,2,4,3,1,3,3
DNA_2097152,0,0,37,156,9,26,23,6,24,20
proteins_2097152,0,2,12,38,5,12,11,9,22,17
realDNA_2097152,0,0,36,160,0,15,14,2,17,18
english_2097152,0,3,12,10,15,23,22,16,24,23
DNA_4194304,0,1,187,879,22,118,82,11,118,72
proteins_4194304,0,24,136,381,52,107,102,114,161,157
realDNA_4194304,0,185,762,1037,757,766,135,34,135,103
english_4194304,0,7,23,20,9,24,22,33,49,35
DNA_8388608,0,184,778,1417,798,781,2042,814,1299,1705
proteins_8388608,0,4,46,144,4,25,22,15,36,36
