data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,2,0,0,0,0,0,0
DNA_262144,0,1,3,177,0,2,2,0,1,1
DNA_524288,0,3,5,450,0,3,4,0,3,4
DNA_1048576,0,7,15,923,2,11,11,1,9,14
proteins_1048576,0,3,7,206,0,7,12,5,11,11
realDNA_1048576,0,11,22,2248,1,13,17,5,21,48
english_1048576,0,0,2,3,0,3,4,1,3,3
DNA_2097152,0,12,35,2492,3,17,22,2,25,29
proteins_2097152,0,5,11,199,5,12,13,8,15,14
realDNA_2097152,0,13,37,2931,0,19,29,3,18,53
english_2097152,0,1,6,6,4,17,24,17,25,23
DNA_4194304,0,47,137,16724,22,119,119,11,104,102
proteins_4194304,0,32,75,1570,15,57,58,29,64,63
realDNA_4194304,0,28,150,8795,11,73,60,13,71,175
english_4194304,0,2,12,44,3,14,16,16,26,24
DNA_8388608,0,111,286,29610,348,686,276,920,309,1086
proteins_8388608,0,16,46,1049,4,24,40,15,35,42
