data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,10,0
DNA_262144,0,0,3,3,2,5,86,0,2,2
DNA_524288,0,0,3,3,0,3,3,0,3,3
DNA_1048576,0,0,13,12,1,13,12,1,14,14
proteins_1048576,0,0,3,3,0,7,7,4,10,10
realDNA_1048576,0,0,15,14,1,22,20,6,24,21
english_1048576,0,0,2,2,1,4,3,1,4,3
DNA_2097152,0,0,22,16,7,25,21,6,24,20
proteins_2097152,0,1,5,5,2,6,7,3,7,6
realDNA_2097152,0,1,72,43,23,92,82,32,133,102
english_2097152,0,2,22,13,6,19,16,14,25,22
DNA_4194304,0,0,85,51,4,81,53,6,83,57
proteins_4194304,0,11,44,39,10,40,38,54,92,85
realDNA_4194304,0,105,503,332,261,708,1164,45,181,102
english_4194304,0,5,18,16,15,28,24,20,27,25
DNA_8388608,0,76,366,130,42,188,103,59,220,141
proteins_8388608,0,4,28,25,10,35,29,18,45,37
