data,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA_512,0,0,-1,0,-1,0,-1
DNA_8192,2,0,-1,0,-1,0,-1
DNA_16384,3,0,-1,0,-1,0,-1
DNA_262144,36,0,-1,5,-1,0,-1
DNA_524288,75,0,-1,2,-1,0,-1
DNA_1048576,360,1,-1,10,-1,7,-1
proteins_1048576,158,0,-1,0,-1,1,-1
realDNA_1048576,322,1,-1,14,-1,7,-1
english_1048576,220,0,-1,2,-1,5,-1
DNA_2097152,753,0,-1,6,-1,4,-1
proteins_2097152,392,1,-1,10,-1,19,-1
realDNA_2097152,774,0,-1,31,-1,12,-1
english_2097152,428,4,-1,4,-1,20,-1
DNA_4194304,1442,0,-1,16,-1,14,-1
proteins_4194304,795,4,-1,14,-1,26,-1
realDNA_4194304,1563,5,-1,34,-1,40,-1
english_4194304,888,15,-1,29,-1,235,-1
DNA_8388608,2856,9,-1,29,-1,111,-1
proteins_8388608,1585,7,-1,21,-1,102,-1
realDNA_8388608,3103,4,-1,35,-1,57,-1
english_8388608,1939,9,-1,31,-1,158,-1
DNA_16777216,14171,68,-1,2092,-1,908,-1
proteins_16777216,6280,10,-1,30,-1,80,-1
realDNA_16777216,11734,4,-1,73,-1,38,-1
english_16777216,5013,27,-1,88,-1,1415,-1
