data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,3,0,0,1,0,0,0,0,0,0
DNA_16384,1,0,0,1,0,0,0,0,0,11
DNA_262144,37,2,2,51,0,1,4,0,1,3
DNA_524288,66,6,8,144,2,7,10,1,7,117
DNA_1048576,187,19,20,993,2,14,26,2,14,26
proteins_1048576,193,8,9,78,0,5,11,1,5,9
realDNA_1048576,440,43,61,1502,2,16,29,1,14,34
english_1048576,195,0,5,6,4,8,18,1,3,6
DNA_2097152,283,23,34,1528,2,15,27,2,17,26
proteins_2097152,131,9,12,456,1,5,10,2,6,9
realDNA_2097152,463,188,49,8435,8,33,211,4,31,286
english_2097152,377,1,7,13,3,9,16,8,14,20
DNA_4194304,897,78,152,5251,2994,174,198,16,161,175
proteins_4194304,698,34,50,368,6,25,40,27,39,58
realDNA_4194304,585,197,110,89748,145,290,833,173,355,4370
english_4194304,426,2,10,16,8,16,24,13,21,27
DNA_8388608,1943,189,386,45262,208,432,485,1129,935,535
proteins_8388608,1818,28,40,390,32,52,62,15,41,47
