data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,2,0,2,2,1,3,2
DNA_524288,0,0,7,5,0,6,4,3,6,5
DNA_1048576,0,1,14,12,5,17,15,6,17,15
proteins_1048576,0,0,2,2,0,2,2,0,2,2
realDNA_1048576,0,1,18,15,7,21,20,5,20,17
english_1048576,0,0,3,3,1,5,4,1,4,4
DNA_2097152,0,0,25,18,10,28,24,8,21,13
proteins_2097152,0,1,7,9,2,5,6,4,7,7
realDNA_2097152,0,1,26,19,10,33,25,8,25,17
english_2097152,0,5,16,18,180,213,205,15,20,20
DNA_4194304,0,4,204,134,106,303,235,50,228,137
proteins_4194304,0,4,22,19,5,23,20,15,35,32
realDNA_4194304,0,6,193,497,94,325,217,82,327,248
english_4194304,0,7,24,23,15,32,28,41,421,23
DNA_8388608,0,13,179,105,37,204,365,547,276,152
proteins_8388608,0,5,36,23,30,58,49,18,74,37
