data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,2,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,0,3,14,1,2,2,1,3,3
DNA_524288,0,0,5,31,0,3,5,0,6,6
DNA_1048576,0,0,21,98,2,13,16,6,18,16
proteins_1048576,0,0,4,17,0,2,3,0,2,2
realDNA_1048576,0,0,23,131,1,20,19,5,20,20
english_1048576,0,0,3,4,4,6,5,1,4,4
DNA_2097152,0,1,42,166,10,29,24,8,27,23
proteins_2097152,0,1,9,35,1,5,5,2,6,6
realDNA_2097152,0,0,37,168,3,29,25,8,31,26
english_2097152,0,2,17,15,1685,177,175,24,34,33
DNA_4194304,0,1,319,1525,41,192,151,19,171,144
proteins_4194304,0,3,33,126,5,22,21,15,31,32
realDNA_4194304,0,9,291,1361,16,167,122,40,185,288
english_4194304,0,4,19,13,10,24,20,28,48,48
DNA_8388608,0,8,269,1049,36,354,106,61,201,127
proteins_8388608,0,4,49,150,47,51,46,18,42,36
