data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,0,0,0,0,0,0,0
DNA_16384,2,0,0,4,0,0,0,0,0,0
DNA_262144,63,2,2,99,0,1,3,0,1,3
DNA_524288,64,5,5,219,0,3,6,0,3,6
DNA_1048576,311,27,28,596,3,26,65,10,28,28
proteins_1048576,100,6,6,64,1,4,11,1,9,12
realDNA_1048576,255,24,30,1253,1,13,25,1,13,34
english_1048576,177,0,2,5,0,3,6,1,5,6
DNA_2097152,257,21,28,862,0,15,34,5,25,34
proteins_2097152,117,7,7,76,0,4,9,2,6,16
realDNA_2097152,867,208,58,10177,6,37,226,6,39,305
english_2097152,484,5,18,23,13,27,85,27,38,43
DNA_4194304,1825,119,173,9656,21,91,115,9,84,106
proteins_4194304,494,24,30,1344,4,19,51,13,28,38
realDNA_4194304,677,215,109,110021,661,931,1846,420,1152,4024
english_4194304,401,2,10,16,6,14,21,13,20,28
DNA_8388608,2172,167,435,30675,1224,1403,1120,740,25064,406
proteins_8388608,871,33,55,670,11,37,63,37,65,45
