data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,1,0,0,0,0,0,0
DNA_16384,2,0,0,14,0,0,0,0,0,0
DNA_262144,61,2,2,52,0,2,4,0,2,3
DNA_524288,63,6,7,208,1,6,9,1,6,8
DNA_1048576,154,16,18,396,3,15,22,6,18,25
proteins_1048576,150,8,10,85,0,9,16,543,7,12
realDNA_1048576,246,23,29,1224,1,14,26,1,17,46
english_1048576,189,0,4,6,3,7,9,3,8,9
DNA_2097152,268,22,36,1585,5,17,27,2,16,34
proteins_2097152,128,7,7,99,1,5,9,8,14,17
realDNA_2097152,718,116,33,5733,0,18,130,2,17,152
english_2097152,333,3,11,15,15,23,29,17,25,28
DNA_4194304,1331,92,150,4533,1605,185,470,13,126,139
proteins_4194304,1316,72,131,733,35,126,171,113,174,214
realDNA_4194304,923,322,220,125571,348,896,1746,473,958,4991
english_4194304,523,2,16,21,3,15,24,20,35,53
DNA_8388608,2457,146,385,87352,511,917,696,438,788,867
proteins_8388608,870,34,54,658,11,38,57,37,64,48
