data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,6,0,0,0,0,0,0
DNA_16384,0,0,0,10,0,0,0,0,0,0
DNA_262144,0,10,22,985,0,8,9,0,7,5
DNA_524288,0,3,5,396,0,3,4,0,3,4
DNA_1048576,0,12,24,1636,1,14,27,1,13,17
proteins_1048576,0,3,6,167,1,4,19,1,4,21
realDNA_1048576,0,14,29,2488,29,22,74,2,32,76
english_1048576,0,0,2,3,1,3,5,1,4,7
DNA_2097152,0,12,32,2436,2,17,21,2,17,23
proteins_2097152,0,4,7,174,7,11,7,2,6,6
realDNA_2097152,0,25,66,4399,12,41,39,4,32,100
english_2097152,0,3,13,12,8,18,136,12,22,22
DNA_4194304,0,41,122,13004,1110,67,430,5,70,71
proteins_4194304,0,13,27,737,9,24,385,16,37,36
realDNA_4194304,0,32,104,15886,6,56,60,12,60,158
english_4194304,0,4,17,16,11,21,113,19,22,22
DNA_8388608,0,60,247,35424,159,332,481,202,427,388
proteins_8388608,0,17,45,2525,9,30,30,15,36,34
