data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,2,0,0,0,0
DNA_16384,0,0,0,2,0,0,0,0,0,0
DNA_262144,0,1,2,189,0,1,5,0,1,1
DNA_524288,0,3,5,444,0,3,6,0,3,4
DNA_1048576,0,7,15,1073,1,9,28,1,8,11
proteins_1048576,0,3,7,146,1,4,5,0,5,9
realDNA_1048576,0,11,21,2646,2,20,23,1,19,68
english_1048576,0,0,2,3,1,3,4,1,3,3
DNA_2097152,0,13,34,2643,3,17,22,2,21,28
proteins_2097152,0,3,7,158,2,5,6,2,6,6
realDNA_2097152,0,17,58,4891,3,43,489,5,34,72
english_2097152,0,1,6,6,2,8,15,17,25,24
DNA_4194304,0,50,141,13954,1256,86,541,11,95,101
proteins_4194304,0,9,20,487,6,16,19,11,22,25
realDNA_4194304,0,29,132,17341,18,112,88,15,75,371
english_4194304,0,3,13,34,6,15,20,17,26,25
DNA_8388608,0,67,264,35058,250,657,1184,350,624,668
proteins_8388608,0,16,46,1240,9,33,49,40,75,69
