data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,1,0,0,0
DNA_262144,0,0,3,15,0,1,2,1,3,2
DNA_524288,0,0,5,34,0,3,4,0,3,3
DNA_1048576,0,0,16,95,1,8,13,5,13,10
proteins_1048576,0,1,11,37,4,10,10,5,11,10
realDNA_1048576,0,1,30,174,1,16,19,7,29,25
english_1048576,0,0,2,2,1,4,4,1,4,3
DNA_2097152,0,0,39,162,10,28,24,7,25,21
proteins_2097152,0,1,8,33,2,5,5,2,7,12
realDNA_2097152,0,0,38,168,0,21,46,6,26,24
english_2097152,0,3,11,10,6,14,13,16,25,24
DNA_4194304,0,1,212,814,22,110,80,11,104,68
proteins_4194304,0,4,35,142,9,28,26,16,34,32
realDNA_4194304,0,301,1293,1928,31,152,112,24,137,105
english_4194304,0,5,16,9,4,12,12,15,23,20
DNA_8388608,0,87,314,1258,74,415,244,532,626,639
proteins_8388608,0,5,56,163,12,36,32,19,43,38
