data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,11,0
DNA_262144,0,0,7,28,0,8,8,2,8,8
DNA_524288,0,0,8,35,0,3,3,0,3,3
DNA_1048576,0,1,31,143,6,16,20,1,12,13
proteins_1048576,0,0,10,39,3,9,9,5,10,11
realDNA_1048576,0,0,51,205,4,29,26,7,29,29
english_1048576,0,0,4,4,1,6,10,3,3,3
DNA_2097152,0,0,31,158,6,26,21,6,24,20
proteins_2097152,0,1,8,33,1,5,8,9,15,14
realDNA_2097152,0,1,90,426,11,68,61,18,75,63
english_2097152,0,1,7,7,5,13,12,8,23,27
DNA_4194304,0,0,147,738,10,88,63,7,91,62
proteins_4194304,0,6,28,116,6,21,20,13,31,62
realDNA_4194304,0,76,460,804,180,642,102,60,97,68
english_4194304,0,2,12,10,3,19,20,31,45,43
DNA_8388608,0,143,811,1004,83,206,129,60,204,128
proteins_8388608,0,4,50,150,23,44,40,17,44,37
