data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,1,0,1,2,0,1,1
DNA_524288,0,0,3,3,0,3,3,0,3,3
DNA_1048576,0,0,15,7,2,13,9,2,17,23
proteins_1048576,0,0,4,6,4,10,8,5,11,5
realDNA_1048576,0,1,28,21,12,34,31,7,32,25
english_1048576,0,0,2,2,0,3,3,1,4,3
DNA_2097152,0,0,18,13,3,17,15,2,15,14
proteins_2097152,0,2,10,9,5,12,12,13,22,11
realDNA_2097152,0,1,86,67,17,117,74,14,87,72
english_2097152,0,3,12,10,3,12,12,17,26,25
DNA_4194304,0,0,97,59,14,100,70,7,93,66
proteins_4194304,0,5,34,29,5,35,27,25,54,43
realDNA_4194304,0,5,84,45,30,97,67,27,106,69
english_4194304,0,5,17,12,6,15,13,17,27,25
DNA_8388608,0,13,164,82,54,198,137,77,243,173
proteins_8388608,0,4,28,25,16,38,33,15,36,36
