data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,7,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,1,2,158,0,1,2,0,1,2
DNA_524288,0,3,5,338,0,3,4,0,3,4
DNA_1048576,0,11,24,1596,2,18,22,2,24,24
proteins_1048576,0,3,6,171,4,9,16,4,4,3
realDNA_1048576,0,12,25,2190,2,17,18,1,16,56
english_1048576,0,0,2,2,1,7,9,4,7,7
DNA_2097152,0,14,37,2825,3,17,22,2,16,20
proteins_2097152,0,3,7,199,1,8,11,8,15,15
realDNA_2097152,0,33,79,5435,8,39,33,4,31,88
english_2097152,0,2,15,14,9,22,41,16,30,27
DNA_4194304,0,43,131,12919,1288,93,621,8,114,108
proteins_4194304,0,13,27,1002,5,20,100,14,32,30
realDNA_4194304,0,28,103,8261,7,53,59,9,53,138
english_4194304,0,3,12,11,6,14,36,15,26,25
DNA_8388608,0,210,278,31025,290,1445,396,187,402,629
proteins_8388608,0,17,44,1178,12,31,32,17,36,33
