data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,1,0,0,0,0,0
DNA_8192,1,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,7,0,0,0,0,0,0
DNA_262144,10,1,2,119,0,1,2,0,1,1
DNA_524288,13,3,5,195,0,3,3,0,3,3
DNA_1048576,91,15,30,1221,2,21,23,2,21,26
proteins_1048576,43,3,6,339,1,4,7,0,4,4
realDNA_1048576,98,15,33,601,8,24,24,5,28,39
english_1048576,96,0,4,3,1,3,4,1,3,3
DNA_2097152,102,13,36,729,8,26,27,6,24,17
proteins_2097152,47,3,7,73,0,4,5,2,6,6
realDNA_2097152,167,22,53,1292,5,30,29,5,43,79
english_2097152,310,9,24,21,26,24,20,12,23,21
DNA_4194304,494,64,186,7769,8,75,172,5,83,163
proteins_4194304,239,17,39,550,4,21,27,15,32,32
realDNA_4194304,198,27,93,2584,1218,59,47,9,61,85
english_4194304,150,3,16,12,5,14,20,17,26,25
DNA_8388608,3174,650,1603,37056,955,1344,1083,1306,2285,1924
proteins_8388608,224,15,49,656,29,58,54,37,65,60
