data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,0,0,0,0,0,0,0
DNA_16384,12,0,0,1,0,0,0,0,0,0
DNA_262144,34,3,3,125,62,3,8,0,2,5
DNA_524288,70,6,6,105,0,3,6,0,3,6
DNA_1048576,217,21,28,529,6,23,57,8,14,25
proteins_1048576,145,8,9,82,0,4,9,1,5,9
realDNA_1048576,268,25,38,1262,1,22,38,1,21,53
english_1048576,194,0,4,7,1,6,25,4,8,9
DNA_2097152,252,21,29,711,2,16,26,2,15,26
proteins_2097152,115,7,7,75,1,5,10,2,7,9
realDNA_2097152,265,110,31,7700,11,54,309,10,60,415
english_2097152,579,2,9,14,9,16,23,11,15,20
DNA_4194304,1155,81,133,3593,1558,78,102,6,84,101
proteins_4194304,483,24,30,302,7,21,48,18,27,64
realDNA_4194304,646,230,103,75197,262,531,1209,152,383,1819
english_4194304,414,2,10,15,1,9,32,14,23,28
DNA_8388608,1732,169,421,18045,1425,18984,316,308,959,1207
proteins_8388608,875,28,40,1923,23,44,54,15,36,44
