data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,14,0,2,18,0,1,1
DNA_524288,0,0,6,36,0,9,11,1,7,7
DNA_1048576,0,0,28,164,2,15,15,1,15,15
proteins_1048576,0,1,9,27,1,4,5,0,3,3
realDNA_1048576,0,0,23,127,1,24,21,5,21,20
english_1048576,0,0,2,2,1,3,5,4,8,7
DNA_2097152,0,0,38,161,8,25,22,5,15,15
proteins_2097152,0,1,8,33,0,4,4,2,7,6
realDNA_2097152,0,0,51,260,4,31,25,3,28,28
english_2097152,0,1,8,8,5,13,12,8,16,15
DNA_4194304,0,2,389,1284,22,145,98,13,132,85
proteins_4194304,0,8,42,135,7,28,28,23,43,57
realDNA_4194304,0,90,541,764,433,268,79,31,121,88
english_4194304,0,2,11,9,3,12,14,14,22,20
DNA_8388608,0,237,1046,2056,258,625,463,389,2086,2327
proteins_8388608,0,4,47,146,12,32,29,15,1778,36
