data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,14,0,2,3,1,3,3
DNA_524288,0,0,7,38,0,4,4,0,3,4
DNA_1048576,0,0,25,143,2,26,24,9,25,23
proteins_1048576,0,0,8,36,0,4,5,1,5,5
realDNA_1048576,0,0,26,155,9,26,24,2,13,15
english_1048576,0,0,2,2,1,4,8,1,8,7
DNA_2097152,0,0,33,155,3,23,19,6,24,20
proteins_2097152,0,0,7,32,1,5,5,2,6,6
realDNA_2097152,0,0,57,284,8,40,48,12,44,41
english_2097152,0,1,8,7,3,10,9,7,14,13
DNA_4194304,0,1,234,1169,19,151,105,17,143,98
proteins_4194304,0,6,55,212,7,35,31,22,88,127
realDNA_4194304,0,69,486,699,281,567,415,192,513,93
english_4194304,0,2,11,17,20,33,33,28,42,38
DNA_8388608,0,57,432,1195,5147,172,84,28,231,133
proteins_8388608,0,5,56,161,37,64,57,18,49,62
