data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,5,1,0,0,0,0,5,0
DNA_262144,10,1,2,87,0,1,30,0,1,1
DNA_524288,13,3,6,135,0,3,3,0,3,3
DNA_1048576,68,11,22,769,1,12,13,2,12,13
proteins_1048576,71,7,15,347,4,23,16,6,15,14
realDNA_1048576,105,17,41,1406,3,24,23,3,30,92
english_1048576,98,0,3,4,4,8,21,4,8,7
DNA_2097152,108,15,38,1238,2,18,18,2,19,31
proteins_2097152,47,3,7,104,1,8,13,8,15,14
realDNA_2097152,169,21,53,2676,8,34,32,4,30,46
english_2097152,147,1,8,7,3,10,11,8,15,14
DNA_4194304,397,48,161,10870,1306,95,66,9,80,66
proteins_4194304,334,25,76,2081,9,41,40,27,57,57
realDNA_4194304,238,33,142,5354,11,66,49,14,63,94
english_4194304,373,2,12,11,10,19,17,14,22,21
DNA_8388608,657,103,374,24186,28,160,92,44,255,133
proteins_8388608,240,23,58,648,81,109,145,41,76,85
