data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,0,3,13,0,2,3,1,2,3
DNA_524288,0,0,7,42,0,4,4,0,4,4
DNA_1048576,0,0,19,95,5,17,16,5,18,16
proteins_1048576,0,0,8,35,0,5,5,1,5,5
realDNA_1048576,0,0,24,149,3,21,27,6,28,26
english_1048576,0,1,5,4,2,7,16,4,8,3
DNA_2097152,0,0,31,160,1,15,14,2,24,19
proteins_2097152,0,1,8,33,2,6,5,2,6,6
realDNA_2097152,0,0,36,158,3,407,20,2,20,19
english_2097152,0,1,7,6,2,8,8,7,12,12
DNA_4194304,0,0,145,680,16,86,62,5,74,52
proteins_4194304,0,3,31,127,3,19,20,15,32,29
realDNA_4194304,0,108,613,902,501,1218,668,708,1021,693
english_4194304,0,20,174,18,5,108,137,69,43,40
DNA_8388608,0,70,350,1062,54,207,357,132,1986,1029
proteins_8388608,0,9,59,155,34,60,55,37,64,59
