data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,8,0,0,0,0,0,0
DNA_16384,3,0,0,1,0,0,0,0,0,0
DNA_262144,36,2,2,55,0,1,6,1,2,4
DNA_524288,97,7,8,254,0,4,7,0,5,8
DNA_1048576,152,13,13,828,1,9,17,1,15,17
proteins_1048576,143,8,9,84,0,4,10,1,5,8
realDNA_1048576,237,21,27,660,8,24,35,5,22,37
english_1048576,186,0,4,6,2,8,45,4,7,10
DNA_2097152,268,22,40,723,5,23,30,2,18,27
proteins_2097152,115,7,7,91,2,5,9,2,13,9
realDNA_2097152,269,115,37,5614,4,22,118,2,17,152
english_2097152,322,1,6,11,2,7,13,6,12,17
DNA_4194304,821,73,123,5476,1056,85,107,5,102,100
proteins_4194304,464,24,29,1190,3,19,105,45,48,40
realDNA_4194304,974,336,147,216860,744,1869,49310,47,430,4701
english_4194304,411,5,17,22,10,23,29,26,39,42
DNA_8388608,1254,3146,315,44030,195,410,1194,115,569,670
proteins_8388608,866,34,56,658,33,67,71,37,65,73
