data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,15,0,0,7,0,0,0,0,0,0
DNA_262144,9,1,2,45,48,1,4,0,1,1
DNA_524288,12,3,5,126,0,3,4,0,3,3
DNA_1048576,45,7,15,779,1,10,10,1,11,11
proteins_1048576,48,4,9,67,4,10,5,0,4,4
realDNA_1048576,149,26,62,994,11,37,37,9,36,57
english_1048576,108,0,4,4,6,9,9,3,7,7
DNA_2097152,96,13,33,661,9,41,27,6,23,19
proteins_2097152,47,4,8,101,4,11,11,9,15,14
realDNA_2097152,128,19,54,2188,3,44,228,4,39,45
english_2097152,165,3,12,10,6,14,15,18,26,24
DNA_4194304,423,57,183,7900,21,113,183,12,116,188
proteins_4194304,120,9,20,322,18,31,20,12,25,23
realDNA_4194304,242,36,128,21148,33,163,140,31,165,245
english_4194304,151,3,12,11,5,14,16,17,26,24
DNA_8388608,1464,180,553,23285,872,1183,1184,1747,2590,2802
proteins_8388608,420,25,70,1407,9,30,28,15,37,33
