data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,2,1,2,2,0,3,1
DNA_524288,0,0,4,4,0,3,4,0,3,4
DNA_1048576,0,1,22,17,8,25,22,6,13,18
proteins_1048576,0,0,4,4,0,4,4,1,5,5
realDNA_1048576,0,0,14,12,2,14,14,3,22,20
english_1048576,0,0,2,2,1,4,7,4,8,8
DNA_2097152,0,0,20,16,5,24,19,3,26,15
proteins_2097152,0,1,5,4,1,5,5,4,13,6
realDNA_2097152,0,1,40,27,17,37,30,3,29,31
english_2097152,0,1,7,7,3,9,9,8,14,13
DNA_4194304,0,1,122,66,12,114,80,12,169,86
proteins_4194304,0,18,54,49,19,40,28,23,47,54
realDNA_4194304,0,5,82,44,42,92,57,27,100,175
english_4194304,0,4,14,13,15,23,21,18,26,25
DNA_8388608,0,14,162,81,53,195,112,57,199,123
proteins_8388608,0,4,42,24,39,64,57,18,45,37
