data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,6,0,0,0,0,0,0
DNA_16384,0,0,0,2,0,0,0,0,0,0
DNA_262144,0,1,2,175,0,1,5,0,1,2
DNA_524288,0,3,5,512,0,3,4,0,3,4
DNA_1048576,0,14,69,1732,2,13,17,1,14,17
proteins_1048576,0,3,7,226,1,6,12,5,16,15
realDNA_1048576,0,12,23,2393,3,19,24,7,28,62
english_1048576,0,1,3,30,1,4,19,1,4,3
DNA_2097152,0,12,50,2235,2,16,19,2,16,68
proteins_2097152,0,4,8,488,1,5,9,2,6,6
realDNA_2097152,0,24,68,4295,8,35,37,4,30,87
english_2097152,0,2,10,8,4,13,76,9,16,15
DNA_4194304,0,83,200,14932,8,90,107,7,89,87
proteins_4194304,0,19,47,1221,7,35,36,28,58,59
realDNA_4194304,0,77,234,15485,11,79,77,15,87,187
english_4194304,0,2,14,13,14,20,32,20,33,30
DNA_8388608,0,244,267,26747,84,277,180,97,275,315
proteins_8388608,0,16,45,1216,32,53,55,24,64,58
