data,dataLength,construction,topFixed,midFixed,bottomFixed
DNA,512,0,0,0,0
DNA,8192,0,0,0,0
DNA,16384,0,0,0,0
DNA,262144,0,1,1,1
DNA,524288,0,2,3,2
DNA,1048576,0,5,6,7
proteins,1048576,0,1,1,2
realDNA,1048576,0,8,10,9
english,1048576,0,1,1,1
DNA,2097152,0,13,15,14
proteins,2097152,0,3,3,4
realDNA,2097152,0,16,15,15
english,2097152,0,3,2,3
DNA,4194304,0,266,281,279
proteins,4194304,0,11,39,118
realDNA,4194304,0,128,130,267
english,4194304,0,10,7,12
