data,dataLength,construction,topVariable,midVariable,bottomVariable
DNA,512,0,0,0,0
DNA,8192,0,0,0,0
DNA,16384,0,0,0,0
DNA,262144,0,11,1,1
DNA,524288,0,24,3,2
DNA,1048576,0,52,5,6
proteins,1048576,0,11,2,1
realDNA,1048576,0,53,8,8
english,1048576,0,1,2,1
DNA,2097152,0,112,13,12
proteins,2097152,0,25,5,4
realDNA,2097152,0,138,42,16
english,2097152,0,2,3,4
DNA,4194304,0,338,273,412
proteins,4194304,0,86,60,69
realDNA,4194304,0,363,87,149
english,4194304,0,8,12,12
