data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,4,0,0,0,0,0,0
DNA_524288,0,6,3,262,119,119,119,0,0,0
DNA_1048576,0,13,10,679,3,3,3,6,6,6
proteins_1048576,0,3,3,65,1,1,1,3,3,3
realDNA_1048576,0,0,7,19,0,0,0,2,2,2
english_1048576,0,0,2,3,0,0,0,1,1,1
DNA_2097152,0,25,23,1847,1,1,1,3,3,3
proteins_2097152,0,6,5,158,1,1,1,63,63,63
realDNA_2097152,0,42,23,3632,2,2,2,18,18,18
english_2097152,0,3,6,73,5,5,5,13,13,13
