data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,-1,-1,-1,0,0,0
DNA_8192,0,0,0,4,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,7,0,0,0,1,1,1
DNA_524288,0,0,5,8,1,1,1,133,133,133
DNA_1048576,0,0,11,63,2,2,2,1,1,1
proteins_1048576,0,0,3,13,0,0,0,1,1,1
realDNA_1048576,0,0,11,62,0,0,0,1,1,1
english_1048576,0,0,1,3,0,0,0,2,2,2
DNA_2097152,0,0,19,136,1,1,1,3,3,3
proteins_2097152,0,1,8,50,31,31,31,4,4,4
realDNA_2097152,0,4,23,41,7,7,7,16,16,16
english_2097152,0,1,5,7,4,4,4,14,14,14
