data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,23,0,0,0,0,0,0,0,0,0
DNA_16384,72,0,0,0,0,0,0,0,0,0
DNA_262144,3851,0,0,9,0,0,0,0,0,0
DNA_524288,11485,0,0,20,0,0,0,0,0,0
DNA_1048576,32632,0,0,48,0,0,0,1,1,1
proteins_1048576,32106,0,0,0,0,0,0,1,1,1
realDNA_1048576,33618,0,0,4,0,0,0,1,1,1
english_1048576,32274,0,0,0,0,0,0,2,2,2
DNA_2097152,100560,729,21,27,104,104,104,121,121,121
proteins_2097152,101057,42,64,1214,17,17,17,66,66,66
realDNA_2097152,100281,9,15,9636,5,5,5,82,82,82
english_2097152,97597,2,2,2,0,0,0,1,1,1
