data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,16,0,1,4,0,0,0,0,0,0
DNA_524288,15,0,2,9,0,0,0,1,1,1
DNA_1048576,60,14,13,974,2,2,2,6,6,6
proteins_1048576,31,0,1,3,0,0,0,0,0,0
realDNA_1048576,90,17,17,1245,0,0,0,1,1,1
english_1048576,46,0,1,6,0,0,0,1,1,1
DNA_2097152,136,6,12,504,24,24,24,1,1,1
proteins_2097152,68,8,9,12,43,43,43,59,59,59
realDNA_2097152,155,8,18,626,6,6,6,23,23,23
english_2097152,96,4,6,203,15,15,15,33,33,33
