data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,3,0,0,0,0,0,0
DNA_524288,0,0,3,6,0,0,0,2,2,2
DNA_1048576,0,0,7,12,0,0,0,1,1,1
proteins_1048576,0,0,2,3,0,0,0,0,0,0
realDNA_1048576,0,0,6,12,0,0,0,1,1,1
english_1048576,0,0,2,3,0,0,0,2,2,2
DNA_2097152,0,4,166,43,6,6,6,10,10,10
proteins_2097152,0,19,31,28,15,15,15,174,174,174
realDNA_2097152,0,19,59,56,42,42,42,92,92,92
english_2097152,0,1,7,7,19,19,19,234,234,234
