data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,-1,-1,-1,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,14,0,1,26,0,0,0,2,2,2
DNA_524288,16,0,2,20,0,0,0,0,0,0
DNA_1048576,51,12,9,866,1,1,1,1,1,1
proteins_1048576,31,2,2,60,0,0,0,1,1,1
realDNA_1048576,91,12,18,790,139,139,139,1,1,1
english_1048576,43,0,1,4,0,0,0,2,2,2
DNA_2097152,138,25,22,1782,1,1,1,5,5,5
proteins_2097152,81,12,6,206,1,1,1,2,2,2
realDNA_2097152,204,10,56,314,1,1,1,840,840,840
english_2097152,153,0,15,14,0,0,0,2,2,2
