data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,1,0,0,0,0,0,0
DNA_16384,6,0,0,2,0,0,0,0,0,0
DNA_262144,30,0,2,26,0,0,0,2,2,2
DNA_524288,62,1,2,197,0,0,0,0,0,0
DNA_1048576,675,0,8,49,1,1,1,1,1,1
proteins_1048576,58,2,2,61,0,0,0,0,0,0
realDNA_1048576,149,3,8,250,2,2,2,5,5,5
english_1048576,110,1,1,26,0,0,0,0,0,0
DNA_2097152,319,2,12,456,1,1,1,3,3,3
proteins_2097152,141,5,8,185,2,2,2,21,21,21
realDNA_2097152,523,1,21,302,1,1,1,6,6,6
english_2097152,227,0,2,9,1,1,1,2,2,2
