data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,2,0,0,0,0,0,0
DNA_524288,0,0,2,6,0,0,0,1,1,1
DNA_1048576,0,0,7,12,0,0,0,1,1,1
proteins_1048576,0,0,1,3,0,0,0,1,1,1
realDNA_1048576,0,0,5,13,1,1,1,2,2,2
english_1048576,0,0,2,3,0,0,0,3,3,3
DNA_2097152,0,1,31,30,143,143,143,543,543,543
proteins_2097152,0,0,16,6,0,0,0,8,8,8
realDNA_2097152,0,10,169,87,190,190,190,521,521,521
english_2097152,0,40,170,48,384,384,384,942,942,942
