data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,0,3,243,0,0,0,0,0,0
DNA_524288,0,0,4,185,0,0,0,1,1,1
DNA_1048576,0,1,12,1990,0,0,0,3,3,3
proteins_1048576,0,1,6,161,2,2,2,1,1,1
realDNA_1048576,0,2,13,2692,0,0,0,1,1,1
english_1048576,0,2,4,38,0,0,0,1,1,1
DNA_2097152,0,11,34,4574,33,33,33,22,22,22
proteins_2097152,0,31,10,430,5,5,5,9,9,9
realDNA_2097152,0,1,28,15021,100,100,100,75,75,75
english_2097152,0,3,9,85,4,4,4,8,8,8
