data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,3,2,87,0,0,0,1,1,1
DNA_524288,0,5,4,244,0,0,0,1,1,1
DNA_1048576,0,14,15,662,2,2,2,7,7,7
proteins_1048576,0,0,2,3,1,1,1,1,1,1
realDNA_1048576,0,1,6,55,0,0,0,1,1,1
english_1048576,0,0,1,4,0,0,0,2,2,2
DNA_2097152,0,70,104,164,19,19,19,13,13,13
proteins_2097152,0,6,5,132,1,1,1,2,2,2
realDNA_2097152,0,26,41,2260,29,29,29,4,4,4
english_2097152,0,6,8,12,3,3,3,6,6,6
