data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,0,0,0,0,0,0,0
DNA_16384,2,0,0,0,0,0,0,0,0,0
DNA_262144,51,0,59,10,0,0,0,0,0,0
DNA_524288,96,0,2,26,0,0,0,3,3,3
DNA_1048576,224,12,12,6189,2,2,2,1,1,1
proteins_1048576,196,1,3,5,0,0,0,4,4,4
realDNA_1048576,333,12,8,5390,0,0,0,1,1,1
english_1048576,192,0,2,37,0,0,0,5,5,5
DNA_2097152,385,6,13,3092,6,6,6,1,1,1
proteins_2097152,402,1,3,3,1,1,1,2,2,2
realDNA_2097152,440,7,14,4114,2,2,2,5,5,5
english_2097152,477,23,12,711,0,0,0,3,3,3
