data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,1,0,0,0,0,0,0,0,0,0
DNA_16384,2,0,0,0,0,0,0,0,0,0
DNA_262144,43,0,1,14,0,0,0,1,1,1
DNA_524288,102,5,5,1557,0,0,0,0,0,0
DNA_1048576,337,12,8,5284,0,0,0,1,1,1
proteins_1048576,183,3,2,388,0,0,0,0,0,0
realDNA_1048576,208,2,8,70,1,1,1,10,10,10
english_1048576,192,0,2,1,1,1,1,2,2,2
DNA_2097152,404,25,18,12639,1,1,1,11,11,11
proteins_2097152,942,35,69,1659,1,1,1,35,35,35
realDNA_2097152,537,26,449,15351,1,1,1,3,3,3
english_2097152,727,2,3,441,1,1,1,3,3,3
