data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,1,3,3,0,0,0,2,2,2
DNA_524288,0,0,3,27,0,0,0,1,1,1
DNA_1048576,0,0,10,61,0,0,0,1,1,1
proteins_1048576,0,0,2,13,0,0,0,3,3,3
realDNA_1048576,0,1,8,15,1,1,1,10,10,10
english_1048576,0,0,2,3,0,0,0,6,6,6
DNA_2097152,0,0,22,137,3,3,3,12,12,12
proteins_2097152,0,0,17,48,0,0,0,4,4,4
realDNA_2097152,0,1,30,144,5,5,5,12,12,12
english_2097152,0,0,3,14,2,2,2,12,12,12
