data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,1,0,0,0,0,0,0
DNA_16384,0,0,0,1,0,0,0,0,0,0
DNA_262144,0,0,1,22,0,0,0,0,0,0
DNA_524288,0,2,5,64,2,2,2,1,1,1
DNA_1048576,0,1,6,44,1,1,1,6,6,6
proteins_1048576,0,3,2,55,0,0,0,0,0,0
realDNA_1048576,0,4,8,222,2,2,2,5,5,5
english_1048576,0,1,1,23,0,0,0,0,0,0
DNA_2097152,0,5,12,413,1,1,1,11,11,11
proteins_2097152,0,6,5,149,0,0,0,29,29,29
realDNA_2097152,0,28,19,91,3,3,3,20,20,20
english_2097152,0,2,8,24,0,0,0,1,1,1
