data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,2,0,0,4,0,0,0,0,0,0
DNA_16384,14,0,0,9,0,0,0,0,0,0
DNA_262144,48,1,2,163,0,0,0,2,2,2
DNA_524288,155,1,2,399,1,1,1,1,1,1
DNA_1048576,190,1,7,312,3,3,3,2,2,2
proteins_1048576,190,3,2,379,0,0,0,0,0,0
realDNA_1048576,202,4,8,1531,2,2,2,5,5,5
english_1048576,186,1,1,189,0,0,0,0,0,0
DNA_2097152,557,5,13,3160,1,1,1,12,12,12
proteins_2097152,412,7,8,953,2,2,2,21,21,21
realDNA_2097152,411,2,12,464,0,0,0,4,4,4
english_2097152,712,0,2,1,0,0,0,2,2,2
