data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,1,0,0,1,0,0,0,0,0,0
DNA_262144,28,1,1,192,0,0,0,0,0,0
DNA_524288,61,0,2,61,1,1,1,1,1,1
DNA_1048576,134,8,11,1203,1,1,1,2,2,2
proteins_1048576,60,0,1,3,0,0,0,0,0,0
realDNA_1048576,149,2,6,246,1,1,1,17,17,17
english_1048576,110,0,1,2,7,7,7,1,1,1
DNA_2097152,454,14,18,2112,50,50,50,3,3,3
proteins_2097152,296,4,17,162,3,3,3,4,4,4
realDNA_2097152,368,79,24,9524,2,2,2,4,4,4
english_2097152,472,1,5,8,1,1,1,4,4,4
