data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,0,0,0
DNA_8192,0,0,0,0,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,1,3,0,0,0,0,0,0
DNA_524288,0,0,2,5,0,0,0,0,0,0
DNA_1048576,0,0,7,12,1,1,1,1,1,1
proteins_1048576,0,0,3,3,0,0,0,1,1,1
realDNA_1048576,0,0,5,13,0,0,0,1,1,1
english_1048576,0,0,1,2,0,0,0,1,1,1
DNA_2097152,0,0,12,26,1,1,1,4,4,4
proteins_2097152,11,144,61,36,17,17,17,2394,2394,2394
realDNA_2097152,0,11,33,39,12,12,12,214,214,214
english_2097152,0,26,88,60,43,43,43,359,359,359
