data,construction,topSingle,topFixed,topVariable,midSingle,midFixed,midVariable,bottomSingle,bottomFixed,bottomVariable
DNA_512,0,0,0,0,0,0,0,1,1,1
DNA_8192,0,0,0,3,0,0,0,0,0,0
DNA_16384,0,0,0,0,0,0,0,0,0,0
DNA_262144,0,0,2,230,0,0,0,0,0,0
DNA_524288,0,1,5,617,0,0,0,1,1,1
DNA_1048576,0,0,12,2204,0,0,0,1,1,1
proteins_1048576,0,3,7,15,2,2,2,6,6,6
realDNA_1048576,0,0,8,179,3,3,3,6,6,6
english_1048576,0,1,2,11,0,0,0,1,1,1
DNA_2097152,0,3,78,14991,2,2,2,93,93,93
proteins_2097152,0,1,6,70,1,1,1,11,11,11
realDNA_2097152,0,2,52,616,1,1,1,3,3,3
english_2097152,0,3,10,345,8,8,8,9,9,9
